author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/307211222/;Москва;sale;flat;8;9;1;57.6;117936000;2023;-1;Монолитный;-1;Без отделки, чистовая с мебелью;-1;-1;+74951387184;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299890518/;Москва;sale;flat;9;40;1;41.5;32000000;-1;-1;-1;-1;-1;23,4 м²;4,9 м²;+79646331510;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
Sminex;developer;https://www.cian.ru/sale/flat/306341785/;Москва;sale;flat;2;12;1;83.3;172590000;2027;-1;Монолитно-кирпичный;-1;Без отделки;14,9 м²;41,8 м²;+74951387057;Хамовники;Фрунзенская набережная;30;Фрунзенская;Клубный город-парк 
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301550653/;Москва;sale;flat;13;41;1;41.5;31000000;-1;-1;-1;-1;-1;23,4 м²;4,9 м²;+79646331510;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Главстрой;developer;https://www.cian.ru/sale/flat/296921064/;Москва;sale;flat;2;16;1;45.0;23274675;2024;-1;Монолитно-кирпичный;-1;Без отделки;16,4 м²;14,6 м²;+74951379308;Филевский парк;Береговой проезд;2;Фили;Береговой-2
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303027445/;Москва;sale;flat;3;20;1;59.0;61800000;2023;-1;-1;-1;-1;39 м²;15 м²;+79057122519;Пресненский; Костикова;4к6;Улица 1905 года;Lucky
VESPER;developer;https://www.cian.ru/sale/flat/306541560/;Москва;sale;flat;5;21;1;65.9;82172522;2023;-1;Монолитный;-1;Чистовая, чистовая с мебелью;18,8 м²;24,9 м²;+74951347641;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308207546/;Москва;sale;flat;14;41;1;48.0;31500000;2024;-1;-1;-1;-1;22,5 м²;12 м²;+79152977461;Раменки;1-й Сетуньский проезд;вл8;Кутузовская;Hide
Пионер;developer;https://www.cian.ru/sale/flat/305778449/;Москва;sale;flat;3;26;1;23.9;22602971;2027;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;-1;-1;+74951387048;Даниловский;;;Павелецкая;Хай Лайф ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307970298/;Москва;sale;flat;14;32;1;44.0;32500000;2021;-1;-1;-1;-1;25 м²;10 м²;+79152977461;Черемушки;Херсонская ;43к5;Зюзино;ONYX Deluxe
Sminex;developer;https://www.cian.ru/sale/flat/293713671/;Москва;sale;flat;2;14;1;72.6;139410000;2024;-1;Монолитный;-1;Без отделки;14,2 м²;31 м²;+74951375467;Якиманка;;;Полянка;Лаврушинский ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307950468/;Москва;sale;flat;4;13;1;43.6;37500000;-1;-1;-1;-1;-1;14 м²;16,8 м²;+79663386401;Пресненский; Сергея Макеева;9к1;Улица 1905 года;RedSide
MR Group;developer;https://www.cian.ru/sale/flat/306611541/;Москва;sale;flat;2;59;1;30.4;;2028;-1;Монолитно-кирпичный;-1;Предчистовая;9,7 м²;-1;+74951370518;Можайский;;;Давыдково;Веер ЖК
SUNRISE Estate;real_estate_agent;https://www.cian.ru/sale/flat/307810501/;Москва;sale;flat;75;95;1;57.0;47000000;2017;-1;-1;-1;-1;37 м²;10 м²;+79651079355;Пресненский;набережная Пресненская;12;Деловой центр;Башня Федерация
MR Group;developer;https://www.cian.ru/sale/flat/306603296/;Москва;sale;flat;7;36;1;40.9;30348986;2027;-1;Монолитный;-1;Без отделки;-1;-1;+74951378819;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
ID 112609323;realtor;https://www.cian.ru/sale/flat/307205775/;Москва;sale;flat;4;6;1;59.35;101785250;2024;-1;-1;-1;Без отделки;48,9 м²;-1;+79645659386;Мещанский; Кузнецкий Мост;12/3С1;Кузнецкий мост;Kuznetsky Most 12 by Lalique
MR Group;developer;https://www.cian.ru/sale/flat/300288186/;Москва;sale;flat;3;49;1;38.79;18572846;2025;-1;Монолитный;-1;Предчистовая, чистовая;13,1 м²;-1;+74951374843;Савеловский;;;Дмитровская;Симфония 34 ЖК
Павел Михайлов;realtor;https://www.cian.ru/sale/flat/308082096/;Москва;sale;flat;12;16;1;44.0;26296000;2023;-1;-1;-1;-1;15 м²;19 м²;+79645385768;Раменки;проспект Генерала Дорохова;39к2Л;Минская;Собрание клубных домов West Garden
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243017/;Москва;sale;flat;2;27;1;45.7;21798900;2026;-1;-1;-1;Без отделки;26,8 м²;7,8 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679592/;Москва;sale;flat;7;20;1;43.09;20252300;2024;-1;-1;-1;-1;10,6 м²;18,7 м²;+79652908569;Даниловский;Автозаводская ;26;Тульская;FORST
