author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
Главстрой,developer,https://www.cian.ru/sale/flat/296921064/,Москва,sale,flat,2,16,1,45.0,23274675,2024,-1,Монолитно-кирпичный,-1,Без отделки,"16,4 м²","14,6 м²",+74951379308,Филевский парк,Береговой проезд,2,Фили,Береговой-2
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Москва,sale,flat,9,40,1,41.5,32000000,-1,-1,-1,-1,-1,"23,4 м²","4,9 м²",+79646331510,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/308789447/,Москва,sale,flat,11,12,1,33.5,8000000,1972,-1,-1,-1,-1,17 м²,7 м²,+79163568699,Чертаново Южное,3-й Дорожный проезд,6К1,Улица Академика Янгеля,
Пионер,developer,https://www.cian.ru/sale/flat/305778449/,Москва,sale,flat,3,26,1,23.9,22602971,2027,-1,Монолитный,-1,"Без отделки, предчистовая, чистовая",-1,-1,+74951387048,Даниловский,,,Павелецкая,Хай Лайф ЖК
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301550653/,Москва,sale,flat,13,41,1,41.5,31000000,-1,-1,-1,-1,-1,"23,4 м²","4,9 м²",+79646331510,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/309028428/,Москва,sale,flat,9,14,1,38.5,7000000,1993,-1,-1,-1,-1,18 м²,8 м²,+79660549528,Крюково,Зеленоград,к1524,Зеленоград — Крюково,
MR Group,developer,https://www.cian.ru/sale/flat/306603296/,Москва,sale,flat,7,36,1,40.9,30348986,2027,-1,-1,-1,Неизвестно,-1,-1,+74951378819,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303027445/,Москва,sale,flat,3,20,1,59.0,61800000,2023,-1,-1,-1,-1,39 м²,15 м²,+79057122519,Пресненский, Костикова,4к6,Улица 1905 года,Lucky
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/308103967/,Москва,sale,flat,2,2,1,34.5,6400000,-1,-1,-1,-1,-1,"19,5 м²",10 м²,+79859658318,Марьино, Перерва,8С1,Перерва,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/306243017/,Москва,sale,flat,2,27,1,45.7,21798900,2026,-1,-1,-1,Неизвестно,"26,8 м²","7,8 м²",+74951387097,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307950468/,Москва,sale,flat,4,13,1,43.6,37500000,-1,-1,-1,-1,-1,14 м²,"16,8 м²",+79663386401,Пресненский, Сергея Макеева,9к1,Улица 1905 года,RedSide
Денис Каргин,realtor,https://www.cian.ru/sale/flat/285374995/,Москва,sale,flat,6,6,1,29.5,6199999,2023,-1,-1,-1,-1,-1,-1,+79057124759,Восточное Измайлово,Первомайская ,126,Первомайская,
Hutton Development,developer,https://www.cian.ru/sale/flat/304286459/,Москва,sale,flat,2,6,1,48.3,95634000,2026,-1,-1,-1,Без отделки,-1,-1,+74951379715,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307970298/,Москва,sale,flat,14,32,1,44.0,32500000,2021,-1,-1,-1,-1,25 м²,10 м²,+79152977461,Черемушки,Херсонская ,43к5,Зюзино,ONYX Deluxe
ФЛИП,real_estate_agent,https://www.cian.ru/sale/flat/309080516/,Москва,sale,flat,7,12,1,35.0,8300000,1973,-1,-1,-1,-1,18 м²,7 м²,+79623677324,Выхино-Жулебино,Ферганская ,11к1с4,Юго-Восточная,
hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679592/,Москва,sale,flat,7,20,1,43.09,20252300,2024,-1,-1,-1,-1,"10,6 м²","18,7 м²",+79652908569,Даниловский,Автозаводская ,26,Тульская,FORST
Apsis Globe,developer,https://www.cian.ru/sale/flat/296193001/,Москва,sale,flat,6,9,1,37.04,10800000,2025,-1,Монолитно-кирпичный,-1,Чистовая,"14,8 м²",4 м²,+74951379085,Косино-Ухтомский, Николая Старостина,14,Реутов,МФК CITIMIX Новокосино
MR Group,developer,https://www.cian.ru/sale/flat/307788175/,Москва,sale,flat,24,47,1,35.1,19127710,2027,-1,Монолитный,-1,Предчистовая,-1,"14,4 м²",+74951377313,Хорошево-Мневники,,,Полежаевская,Джойс ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/293718260/,Москва,sale,flat,5,6,1,43.0,26900000,-1,-1,-1,-1,-1,-1,-1,+79684748757,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
Ордер,real_estate_agent,https://www.cian.ru/sale/flat/280751407/,Москва,sale,flat,4,7,1,33.56,5600000,2024,-1,-1,-1,Без отделки,"12,5 м²","10,5 м²",+79154398945,, Луговая,,Рассказовка,Эдельвейс
Донстрой,developer,https://www.cian.ru/sale/flat/309018369/,Москва,sale,flat,6,50,1,49.3,25621210,2027,-1,Монолитный,-1,Без отделки,"14,1 м²","17,9 м²",+74951387177,Раменки,м. Мичуринский проспект,,Мичуринский проспект,Событие
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/309338440/,Москва,sale,flat,1,17,1,35.8,8600000,2005,-1,-1,-1,-1,14 м²,9 м²,+79852531815,Левобережный,Валдайский проезд,13АК1,Беломорская,
MR Group,developer,https://www.cian.ru/sale/flat/309097264/,Москва,sale,flat,4,21,1,45.1,19313624,2027,-1,"Монолитно-кирпичный, монолитный, кирпичный",-1,"Без отделки, предчистовая","24,7 м²",-1,+74997058993,Даниловский,,,Павелецкая,Павелецкая Сити ЖК
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/294476646/,Москва,sale,flat,3,5,1,31.0,18500000,1958,-1,-1,-1,-1,-1,-1,+79660626305,Пресненский, Юлиуса Фучика,2/30,Маяковская,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308934281/,Москва,sale,flat,6,17,1,36.3,12500000,2006,-1,-1,-1,-1,17 м²,8 м²,+79651096613,Кунцево, Коцюбинского,10,Кунцевская,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/307502540/,Москва,sale,flat,6,14,1,39.4,8750000,1994,-1,-1,-1,-1,"20,9 м²","8,7 м²",+79857048937,Крюково,Зеленоград,к1620,Зеленоград — Крюково,
Sminex,developer,https://www.cian.ru/sale/flat/308620060/,Москва,sale,flat,9,14,1,44.6,27170000,2023,-1,Монолитный,-1,"Без отделки, чистовая","13,8 м²","21,4 м²",+74951375461,Раменки,проспект Генерала Дорохова,39к2Л,Ломоносовский проспект,Собрание клубных домов West Garden
ID 92117113,real_estate_agent,https://www.cian.ru/sale/flat/308079488/,Москва,sale,flat,15,22,1,36.4,16500000,2023,-1,-1,-1,-1,20 м²,16 м²,+79660236808,Щукино,Большой Волоколамский проезд,23,Стрешнево,Комплекс апартаментов B’aires
СМАРЕНТ,real_estate_agent,https://www.cian.ru/sale/flat/308998044/,Москва,sale,flat,15,16,1,36.5,8990000,2024,-1,-1,-1,Чистовая,11 м²,"16,5 м²",+79661092921,Молжаниновский,Ленинградское шоссе,229Ак1,Новоподрезково,Молжаниново
РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/307195936/,Москва,sale,flat,5,26,1,37.6,14543191,2025,-1,Монолитный,-1,Без отделки,"24,2 м²","4,8 м²",+74951374127,Соколиная гора,,,Соколиная гора,Семеновский Парк 2 ЖК
А101,developer,https://www.cian.ru/sale/flat/306746038/,Москва,sale,flat,4,19,1,34.5,7739523,2025,-1,-1,-1,Без отделки,"11,8 м²",11 м²,+74951344536,,,7.1,Улица Горчакова,Бунинские Кварталы ЖК
MR Group,developer,https://www.cian.ru/sale/flat/306477182/,Москва,sale,flat,9,30,1,37.5,17725242,2024,-1,"Монолитно-кирпичный, монолитный",-1,Предчистовая,"10,4 м²","18,9 м²",+74951387213,Южнопортовый,Волгоградский проспект,32/5к2,Волгоградский проспект,Метрополия
Upside Development,developer,https://www.cian.ru/sale/flat/305099906/,Москва,sale,flat,11,47,1,41.11,19496106,2027,-1,-1,-1,Предчистовая,"13,8 м²","14,9 м²",+74951379020,Бутырский,Огородный проезд,,Бутырская,Upside Towers
