author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
Главстрой,developer,https://www.cian.ru/sale/flat/296921064/,Москва,sale,flat,2,16,1,45.0,23274675,2024,-1,Монолитно-кирпичный,-1,Без отделки,"16,4 м²","14,6 м²",+74951379308,Филевский парк,Береговой проезд,2,Фили,Береговой-2
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Москва,sale,flat,9,40,1,41.5,32000000,-1,-1,-1,-1,-1,"23,4 м²","4,9 м²",+79646331510,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/308789447/,Москва,sale,flat,11,12,1,33.5,8000000,1972,-1,-1,-1,-1,17 м²,7 м²,+79163568699,Чертаново Южное,3-й Дорожный проезд,6К1,Улица Академика Янгеля,
Пионер,developer,https://www.cian.ru/sale/flat/305778449/,Москва,sale,flat,3,26,1,23.9,22602971,2027,-1,Монолитный,-1,"Без отделки, предчистовая, чистовая",-1,-1,+74951387048,Даниловский,,,Павелецкая,Хай Лайф ЖК
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301550653/,Москва,sale,flat,13,41,1,41.5,31000000,-1,-1,-1,-1,-1,"23,4 м²","4,9 м²",+79646331510,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/309028428/,Москва,sale,flat,9,14,1,38.5,7000000,1993,-1,-1,-1,-1,18 м²,8 м²,+79660549528,Крюково,Зеленоград,к1524,Зеленоград — Крюково,
MR Group,developer,https://www.cian.ru/sale/flat/306603296/,Москва,sale,flat,7,36,1,40.9,30348986,2027,-1,Монолитный,-1,Без отделки,-1,-1,+74951378819,Беговой,Ленинградский проспект,вл8,Белорусская,Slava
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303027445/,Москва,sale,flat,3,20,1,59.0,61800000,2023,-1,-1,-1,-1,39 м²,15 м²,+79057122519,Пресненский, Костикова,4к6,Улица 1905 года,Lucky
Монолит Столица,real_estate_agent,https://www.cian.ru/sale/flat/308103967/,Москва,sale,flat,2,2,1,34.5,6400000,-1,-1,-1,-1,-1,"19,5 м²",10 м²,+79859658318,Марьино, Перерва,8С1,Перерва,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/306243017/,Москва,sale,flat,2,27,1,45.7,21798900,2026,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","26,8 м²","7,8 м²",+74951387097,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307950468/,Москва,sale,flat,4,13,1,43.6,37500000,-1,-1,-1,-1,-1,14 м²,"16,8 м²",+79663386401,Пресненский, Сергея Макеева,9к1,Улица 1905 года,RedSide
Денис Каргин,realtor,https://www.cian.ru/sale/flat/285374995/,Москва,sale,flat,6,6,1,29.5,6199999,2023,-1,-1,-1,-1,-1,-1,+79057124759,Восточное Измайлово,Первомайская ,126,Первомайская,
Hutton Development,developer,https://www.cian.ru/sale/flat/304286459/,Москва,sale,flat,2,6,1,48.3,95634000,2026,-1,-1,-1,Без отделки,-1,-1,+74951379715,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307970298/,Москва,sale,flat,14,32,1,44.0,32500000,2021,-1,-1,-1,-1,25 м²,10 м²,+79152977461,Черемушки,Херсонская ,43к5,Зюзино,ONYX Deluxe
ФЛИП,real_estate_agent,https://www.cian.ru/sale/flat/309080516/,Москва,sale,flat,7,12,1,35.0,8300000,1973,-1,-1,-1,-1,18 м²,7 м²,+79623677324,Выхино-Жулебино,Ферганская ,11к1с4,Юго-Восточная,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/308081007/,Москва,sale,flat,4,6,1,50.2,57228000,2025,-1,Монолитно-кирпичный,-1,Без отделки,"12,3 м²","23,9 м²",+74951387122,Замоскворечье,Космодамианская набережная,4/22С9,Новокузнецкая,Клубный дом Космо 4/22
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308207546/,Москва,sale,flat,14,41,1,48.0,31500000,2024,-1,-1,-1,-1,"22,5 м²",12 м²,+79152977461,Раменки,1-й Сетуньский проезд,вл8,Кутузовская,Hide
OPN PARTNER,real_estate_agent,https://www.cian.ru/sale/flat/304536369/,Москва,sale,flat,4,6,1,30.0,7490000,2021,-1,-1,-1,-1,-1,11 м²,+79660472795,, Жемчужная,1к14,Филатов Луг,
MR Group,developer,https://www.cian.ru/sale/flat/308088559/,Москва,sale,flat,3,7,1,78.45,196125000,2026,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","19,1 м²","29,7 м²",+74951389336,Арбат,Крестовоздвиженский переулок,4,Арбатская,LUCE
SUNRISE Estate,real_estate_agent,https://www.cian.ru/sale/flat/307810501/,Москва,sale,flat,75,95,1,57.0,47000000,2017,-1,-1,-1,-1,37 м²,10 м²,+79651079355,Пресненский,набережная Пресненская,12,Деловой центр,Башня Федерация
Мария Рыськина,realtor,https://www.cian.ru/sale/flat/308543607/,Москва,sale,flat,5,12,1,33.5,14500000,1964,-1,-1,-1,-1,17 м²,4 м²,+79680123988,Беговой,Ленинградский проспект,33А,Динамо,
TOUCH,developer,https://www.cian.ru/sale/flat/302838421/,Москва,sale,flat,7,13,1,45.3,27171760,2024,-1,Монолитный,-1,"Без отделки, чистовая",-1,-1,+74951387101,Южнопортовый,,к2,Дубровка,Шампайн ЖК
ID 112609323,realtor,https://www.cian.ru/sale/flat/307205775/,Москва,sale,flat,4,6,1,59.35,101785250,2024,-1,-1,-1,Без отделки,"48,9 м²",-1,+79645659386,Мещанский, Кузнецкий Мост,12/3С1,Кузнецкий мост,Kuznetsky Most 12 by Lalique
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/300522888/,Москва,sale,flat,4,5,1,14.4,3450000,1930,-1,-1,-1,-1,10 м²,4 м²,+79851608598,Перово, 2-я Энтузиастов,5,Авиамоторная,
Пионер,developer,https://www.cian.ru/sale/flat/308640077/,Москва,sale,flat,3,11,1,55.8,52675646,2025,-1,Монолитно-кирпичный,-1,Без отделки,-1,-1,+74951387235,Даниловский,,,Павелецкая,Опус ЖК
Павел Михайлов,realtor,https://www.cian.ru/sale/flat/308082096/,Москва,sale,flat,12,16,1,44.0,26296000,2023,-1,-1,-1,-1,15 м²,19 м²,+79645385768,Раменки,проспект Генерала Дорохова,39к2Л,Минская,Собрание клубных домов West Garden
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/306297489/,Москва,sale,flat,3,15,1,54.0,14800000,2016,-1,-1,-1,-1,30 м²,12 м²,+79858789283,, Татьянин Парк,14к2,Говорово,Татьянин Парк
Hutton Development,developer,https://www.cian.ru/sale/flat/305627360/,Москва,sale,flat,8,17,1,50.8,36423600,2024,-1,"Монолитно-кирпичный, монолитный",-1,"Предчистовая, черновая, чистовая","26,7 м²",5 м²,+74951387225,Гагаринский,Ленинский проспект,38,Ленинский проспект,Lunar
hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679592/,Москва,sale,flat,7,20,1,43.09,20252300,2024,-1,-1,-1,-1,"10,6 м²","18,7 м²",+79652908569,Даниловский,Автозаводская ,26,Тульская,FORST
Apsis Globe,developer,https://www.cian.ru/sale/flat/296193001/,Москва,sale,flat,6,9,1,37.04,10800000,2025,-1,Монолитно-кирпичный,-1,Чистовая,"14,8 м²",4 м²,+74951379085,Косино-Ухтомский, Николая Старостина,14,Реутов,МФК CITIMIX Новокосино
Sense Development,developer,https://www.cian.ru/sale/flat/298147602/,Москва,sale,flat,7,13,1,58.8,37642247,2024,-1,Монолитный,-1,Предчистовая,"45,1 м²","8,7 м²",+74951374803,Даниловский, Даниловский Вал,1А,Тульская,Logos
Absolute Premium,developer,https://www.cian.ru/sale/flat/304065733/,Москва,sale,flat,9,18,1,49.8,60432000,2026,-1,Монолитный,-1,"Без отделки, предчистовая","11,3 м²",-1,+74951387189,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
ID 18373060,homeowner,https://www.cian.ru/sale/flat/308964291/,Москва,sale,flat,4,9,1,32.8,9500000,1967,-1,-1,-1,-1,"18,8 м²","6,7 м²",+79099971445,Западное Дегунино,Коровинское шоссе,3К1,Селигерская,
